"drug_name","drug_ndc_normalized","drug_ndc_raw","n_occurrences","target_concept_id"
"Prednisolone","59630*70248","59630-*702-48",5342,""
"Immune globulin","00944262001","00944-2620-01",3882,""
"Isotonic Saline (0.9%)","00026440005","00026440005",3725,""
"OMS","33413005004","33413005004",3520,""
"Lisinopril","545695435*0","54569-5435-*0",3234,""
"Rifampin","00068050861","00068-0508-61",3147,""
"insulin aspart","548686054*0","54868-6054-*0",2745,""
"nifedipine","00047007824","00047007824",2479,""
"prochlorperazine","52959*39115","52959-*391-15",2413,""
"metoprolol","545693787*0","54569-3787-*0",2387,""
"Isotonic Saline (0.9%)","00264400155","00264-4001-55",2118,""
"Isoniazid","00722521201","00722-5212-01",2105,""
"Pyrazinamide","17236096101","17236096101",2067,""
"atropine","00517010125","00517-0101-25",1981,""
"IRON","24385013778","24385013778",1891,""
"Irbesartan","00087277231","00087277231",1812,""
"ibuprofen","49884*46901","49884-*469-01",1715,""
"dicyclomine","58914*01310","58914-*013-10",1666,""
"Lisinopril","67544*13430","67544-*134-30",1620,""
"azithromycin","682583012*1","68258-3012-*1",1581,""
"HEPSERA","54569560400","54569560400",1507,""
"enalapril","00093002601","00093002601",1500,""
"Prednisolone","50383*17708","50383-*177-08",1429,""
"NEXIUM","21695009215","21695009215",1393,""
"vitamin A","00186423962","00186-4239-62",1392,""
"warfarin","66267*63300","66267-*633-00",1367,""
"hydralazine","00102343001","00102343001",1358,""
"carbamazepine","00781508801","00781508801",1337,""
"phenobarbitol","51432034206","51432034206",1313,""
"risperidone","67544*21030","67544-*210-30",1269,""
"FLUOROURACIL","66758004403","66758004403",1248,""
"dexamethasone","47202252901","47202252901",1241,""
"methotrexate","545691818*0","54569-1818-*0",1211,""
"pantoprazole","545696062*0","54569-6062-*0",1173,""
"amitriptyline","545691519*0","54569-1519-*0",1162,""
"Ipratropium (MDI)","545695757*0","54569-5757-*0",1152,""
"acetaminophen","00364724812","00364724812",1145,""
"5-FU","00013105694","00013-1056-94",1145,""
"Prednisone","545690332*3","54569-0332-*3",1135,""
"cefuroxime axetil","00182269015","00182269015",1117,""
"Doxorubicin","00013113691","00013113691",1084,""
"digoxin","00719129513","00719129513",1077,""
"Interferon alfa-n1","66435020209","66435020209",1067,""
"valproic acid","00093063201","00093063201",1067,""
"Guaifenesin","64376*50101","64376-*501-01",1065,""
"Ciprofloxacin","545695574*0","54569-5574-*0",1050,""
"EPIVIR","54569547900","54569547900",1045,""
"Isoniazid","545692942*0","54569-2942-*0",1042,""
"Isoniazid","65162*18010","65162-*180-10",1027,""
"Ethambutol","61748001409","61748001409",1025,""
"Levofloxacin","00045152550","00045-1525-50",1025,""
"Leucovorin","53905005301","53905005301",1019,""
"Amoxicillin","545693335*2","54569-3335-*2",970,""
"glimepiride","00093725601","00093725601",961,""
"Fluticasone (MDI)","545695671*0","54569-5671-*0",958,""
"Ibuprofen","46703*10401","46703-*104-01",955,""
"famotidine","00093089701","00093089701",913,""
"ibuprofen","42549*51800","42549-*518-00",892,""
"ZYPREXA","68115070815","68115070815",870,""
"timolol 0.25%","17478028912","17478028912",838,""
"acetaminophen","545694272*0","54569-4272-*0",789,""
"Elevated dose of albuterol(dosage individualized)","545695777*0","54569-5777-*0",769,""
"Amoxicillin","545693335*1","54569-3335-*1",756,""
"Azithromycin","682583012*1","68258-3012-*1",740,""
"ACIPHEX","16590046730","16590046730",728,""
"methylprednisolone","00052078216","00052078216",698,""
"AVAPRO","00087277231","00087277231",677,""
"Ibuprofen","00005312223","00005312223",670,""
"Doxycycline","46703*06803","46703-*068-03",664,""
"oxcarbazepine","62584*14301","62584-*143-01",654,""
"clarithromycin","545695688*0","54569-5688-*0",645,""
"oxcarbazepine","00054009820","00054009820",643,""
"lovastatin","00093092619","00093092619",642,""
"Lopressor","00028007101","00028007101",624,""
"Hydrochlorothiazide","00172248560","00172-2485-60",624,""
"INTRON","00339651399","00339651399",620,""
"amoxicillin","545693335*0","54569-3335-*0",619,""
"Aspirin","545690014*1","54569-0014-*1",615,""
"gabapentin","42549*51302","42549-*513-02",612,""
"misoprostol","00172443149","00172443149",611,""
"Interferon alfa","66435020209","66435020209",609,""
"Nitroprusside","00409302401","00409-3024-01",603,""
"amoxicillin-clavulanate","68084*23501","68084-*235-01",598,""
"topiramate","545696138*0","54569-6138-*0",592,""
"Ammonium lactate lotion (5%)","64980*30912","64980-*309-12",586,""
"meclizine","00049211066","00049-2110-66",580,""
"phenytoin","38779214905","38779214905",569,""
"prednisone","10754085801","10754085801",556,""
"DILANTIN","00071036524","00071036524",549,""
"valsartan","00083400041","00083-4000-41",546,""
"Albuterol (""rescue inhaler"")","00487990102","00487990102",540,""
"ULTRALYTIC","13613023004","13613023004",531,""
"topiramate","545696137*0","54569-6137-*0",528,""
"cladribine","55390011501","55390011501",528,""
"dimenhydrinate","53258011913","53258011913",527,""
"phenytoin","00641146535","00641146535",519,""
"phenytoin","00143988125","00143-9881-25",502,""
"Albendazole","00007550040","00007-5500-40",500,""
"azathioprine","55390*60020","55390-*600-20",498,""
"paliperidone","21695*45530","21695-*455-30",488,""
"Nebulized albuterol or ipratropium","545693900*0","54569-3900-*0",472,""
"promethazine","545691754*0","54569-1754-*0",458,""
"Omeprazole","545695482*0","54569-5482-*0",457,""
"diazepam","44514*95518","44514-*955-18",457,""
"RANITIDINE","23490624902","23490624902",456,""
"sucralfate","545694446*0","54569-4446-*0",450,""
"heparin","00074779462","00074779462",447,""
"digoxin","545695758*0","54569-5758-*0",443,""
"Esomeprazole","00186602001","00186-6020-01",442,""
"aspirin","545690014*1","54569-0014-*1",441,""
"trazodone","18837*37630","18837-*376-30",437,""
"warfarin","00056017070","00056-0170-70",432,""
"enoxaparin","548685440*0","54868-5440-*0",430,""
"Nexium","16590050928","16590050928",424,""
"lorazepam","545692173*0","54569-2173-*0",418,""
"valproic acid","00349873501","00349873501",400,""
