"domain","source_value","record_count"
"drug","Prednisolone",9060
"drug","Isotonic Saline (0.9%)",8777
"drug","5-FU",8491
"drug","Telbivudine",7763
"drug","Lisinopril",7518
"drug","Isoniazid",5566
"drug","famotidine",5243
"drug","Immune globulin",5186
"drug","metoprolol",5135
"drug","ibuprofen",5039
"drug","OMS",4984
"drug","prochlorperazine",4739
"drug","nifedipine",4175
"drug","Rifampin",4168
"drug","IRON",3779
"drug","atropine",3771
"drug","acetaminophen",3697
"drug","insulin aspart",3670
"drug","warfarin",3407
"drug","enalapril",3326
"drug","Ethambutol",2755
"drug","Pyrazinamide",2755
"drug","vitamin A",2715
"drug","hydralazine",2715
"drug","Ibuprofen",2712
"drug","risperidone",2533
"drug","Amoxicillin",2502
"drug","Irbesartan",2467
"drug","dexamethasone",2441
"drug","phenytoin",2239
"drug","prednisone",2226
"drug","topiramate",2221
"drug","dicyclomine",2207
"drug","azithromycin",2130
"drug","digoxin",2050
"drug","NEXIUM",2011
"drug","HEPSERA",1982
"drug","valproic acid",1966
"drug","carbamazepine",1955
"drug","Prednisone",1934
"drug","Leucovorin",1929
"drug","methotrexate",1924
"drug","amitriptyline",1864
"drug","FLUOROURACIL",1760
"drug","phenobarbitol",1750
"drug","Aspirin",1738
"drug","gabapentin",1738
"drug","oxcarbazepine",1721
"drug","Guaifenesin",1617
"drug","timolol 0.25%",1602
"drug","pantoprazole",1557
"drug","Ipratropium (MDI)",1524
"drug","cefuroxime axetil",1485
"drug","Ciprofloxacin",1466
"drug","Interferon alfa-n1",1444
"drug","Levofloxacin",1439
"drug","Doxorubicin",1433
"drug","EPIVIR",1383
"drug","Doxycycline",1328
"drug","methylprednisolone",1315
"drug","Fluticasone (MDI)",1280
"drug","glimepiride",1265
"drug","amoxicillin",1238
"drug","Hydrochlorothiazide",1197
"drug","brimonidine 0.2%",1173
"drug","ZYPREXA",1152
"drug","azathioprine",1141
"drug","Elevated dose of albuterol(dosage individualized)",1038
"drug","ACIPHEX",1015
"drug","Interferon alfa",1014
"drug","sertraline",1010
"drug","rituximab",993
"drug","paliperidone",976
"drug","Azithromycin",968
"drug","AVAPRO",945
"drug","meclizine",919
"drug","Albuterol (""rescue inhaler"")",914
"drug","INTRON",892
"drug","lovastatin",865
"drug","clarithromycin",856
"drug","cladribine",836
"drug","misoprostol",832
"drug","DILANTIN",831
"drug","Lopressor",830
"drug","valsartan",824
"drug","amoxicillin-clavulanate",800
"drug","Nitroprusside",793
"drug","Ammonium lactate lotion (5%)",777
"drug","Naproxen",774
"drug","ULTRALYTIC",728
"drug","dimenhydrinate",723
"drug","protamine sulfate",714
"drug","methylphenidate",686
"drug","RANITIDINE",685
"drug","heparin",684
"drug","promethazine",651
"drug","Albendazole",641
"drug","diazepam",638
"drug","propanolol",634
"drug","aspirin",624
"drug","ceftriaxone",621
"drug","Nebulized albuterol or ipratropium",618
"drug","amoxicillin/calvulanate",618
"drug","Esomeprazole",609
"drug","Omeprazole",604
"drug","sucralfate",598
"drug","duloxetine",589
"drug","lorazepam",584
"drug","Nexium",582
"drug","enoxaparin",578
"drug","cyclosporine",571
"drug","ampicillin-sulbactam",569
"drug","trazodone",569
"drug","apraclonidine 0.5%",568
"drug","nitroglycerin",552
"drug","Chantix",524
"drug","Buspirone",521
"drug","argatroban",516
"drug","clopidogrel",508
"drug","citalopram",506
"drug","irinotecan",503
"drug","danaparoid",501
"drug","natalizumab",484
"drug","cholestyramine",470
"drug","omeprazole",455
"drug","Nebulized Ipratropium/Oxygen to >90% SaO2",448
"drug","LYRICA",439
"drug","pilocarpine 2%",438
"drug","Aliskiren",417
"drug","ranitidine",411
"drug","LANTUS",399
"drug","Nebulized albuterol",396
"drug","gemcitabine",385
"drug","valproate",385
"drug","fluoxetine",384
"drug","nitroprusside",377
"drug","ARAVA",369
"drug","sumatriptan",367
"drug","Diltiazem",367
"drug","hyoscyamine",364
"drug","cyclophosphamide",364
"drug","Interferon alfacon 1",363
"drug","chlorambucil",356
"drug","IPRATROPIUM",353
"drug","Pentoxifylline",347
"drug","Estrogens",342
"drug","SAVELLA",328
"drug","mycophenolate mofetil",328
"drug","vincristine",327
"drug","doxorubicin",327
"drug","leflunomide",326
"drug","Methocarbamol",321
"drug","Dexamethasone",317
"drug","ROFERON-A",306
"drug","Alendronate sodium",298
"drug","cytarabine",298
"drug","hydrocortisone",298
"drug","oxycodone",297
"drug","hydrocodone (Vicodin)",296
"drug","Ketoprofen",294
"drug","sulfasalazine",294
"drug","trimethoprim",293
"drug","Indomethacin",287
"drug","ondansetron",274
"drug","CELESTONE",250
"drug","pentoxifylline",249
"drug","metformin",222
"drug","gemfibrozil",216
"drug","prazosin",213
"drug","bicalutamide",205
"drug","fludarabine",203
"drug","Interferon alfa 2-b",190
"drug","ELOXATIN",179
"drug","ATNATIV",175
"drug","Lamivudine",168
"drug","Ultram",163
"drug","clindamycin",163
"drug","LEVAQUIN",159
"drug","Trental",156
"drug","Heparin",148
"drug","Nicardipine",146
"drug","Pentoxil",144
"drug","Oxaliplatin",142
"drug","AVANDIA",140
"drug","Azathioprine",140
"drug","Acetaminophen",129
"drug","XELODA",125
"drug","Simvastatin",123
"drug","Pletal",123
"drug","diclofenac",121
"drug","Theophylline",119
"drug","mitomycin",114
"drug","Clopidogrel",99
"drug","Metoprolol",99
"drug","glipizide",97
"drug","amlodipine",96
"drug","benazepril",96
"drug","mannitol",95
"drug","fondaparinux",92
"drug","Irinotecan",88
