"drug_name","drug_ndc_normalized","drug_ndc_raw","n_occurrences","target_concept_id"
"Telbivudine","00078053815","00078-0538-15",5799,""
"Immune globulin","00944262001","00944-2620-01",3882,""
"Isotonic Saline (0.9%)","00026440005","00026440005",3725,""
"Rifampin","00068050861","00068-0508-61",3147,""
"nifedipine","00047007824","00047007824",2479,""
"prochlorperazine","5295939115","52959-*391-15",2413,""
"metoprolol","5456937870","54569-3787-*0",2387,""
"Isotonic Saline (0.9%)","00264400155","00264-4001-55",2118,""
"Isoniazid","00722521201","00722-5212-01",2105,""
"Pyrazinamide","17236096101","17236096101",2067,""
"atropine","00517010125","00517-0101-25",1981,""
"IRON","24385013778","24385013778",1891,""
"Irbesartan","00087277231","00087277231",1812,""
"ibuprofen","4988446901","49884-*469-01",1715,""
"dicyclomine","5891401310","58914-*013-10",1666,""
"Lisinopril","6754413430","67544-*134-30",1620,""
"azithromycin","6825830121","68258-3012-*1",1581,""
"enalapril","00093002601","00093002601",1500,""
"Prednisolone","5038317708","50383-*177-08",1429,""
"NEXIUM","21695009215","21695009215",1393,""
"vitamin A","00186423962","00186-4239-62",1392,""
"warfarin","6626763300","66267-*633-00",1367,""
"hydralazine","00102343001","00102343001",1358,""
"carbamazepine","00781508801","00781508801",1337,""
"risperidone","6754421030","67544-*210-30",1269,""
"methotrexate","5456918180","54569-1818-*0",1211,""
"pantoprazole","5456960620","54569-6062-*0",1173,""
"amitriptyline","5456915190","54569-1519-*0",1162,""
"Ipratropium (MDI)","5456957570","54569-5757-*0",1152,""
"5-FU","00013105694","00013-1056-94",1145,""
"acetaminophen","00364724812","00364724812",1145,""
"Prednisone","5456903323","54569-0332-*3",1135,""
"cefuroxime axetil","00182269015","00182269015",1117,""
"Doxorubicin","00013113691","00013113691",1084,""
"digoxin","00719129513","00719129513",1077,""
"Interferon alfa-n1","66435020209","66435020209",1067,""
"valproic acid","00093063201","00093063201",1067,""
"Guaifenesin","6437650101","64376-*501-01",1065,""
"Ciprofloxacin","5456955740","54569-5574-*0",1050,""
"Isoniazid","5456929420","54569-2942-*0",1042,""
"Isoniazid","6516218010","65162-*180-10",1027,""
"Levofloxacin","00045152550","00045-1525-50",1025,""
"Amoxicillin","5456933352","54569-3335-*2",970,""
"glimepiride","00093725601","00093725601",961,""
"Fluticasone (MDI)","5456956710","54569-5671-*0",958,""
"Ibuprofen","4670310401","46703-*104-01",955,""
"famotidine","00093089701","00093089701",913,""
"ibuprofen","4254951800","42549-*518-00",892,""
"acetaminophen","5456942720","54569-4272-*0",789,""
"Elevated dose of albuterol(dosage individualized)","5456957770","54569-5777-*0",769,""
"Amoxicillin","5456933351","54569-3335-*1",756,""
"Azithromycin","6825830121","68258-3012-*1",740,""
"methylprednisolone","00052078216","00052078216",698,""
"AVAPRO","00087277231","00087277231",677,""
"Ibuprofen","00005312223","00005312223",670,""
"Doxycycline","4670306803","46703-*068-03",664,""
"oxcarbazepine","6258414301","62584-*143-01",654,""
"clarithromycin","5456956880","54569-5688-*0",645,""
"oxcarbazepine","00054009820","00054009820",643,""
"lovastatin","00093092619","00093092619",642,""
"Lopressor","00028007101","00028007101",624,""
"Hydrochlorothiazide","00172248560","00172-2485-60",624,""
"INTRON","00339651399","00339651399",620,""
"amoxicillin","5456933350","54569-3335-*0",619,""
"Aspirin","5456900141","54569-0014-*1",615,""
"gabapentin","4254951302","42549-*513-02",612,""
"misoprostol","00172443149","00172443149",611,""
"Interferon alfa","66435020209","66435020209",609,""
"Nitroprusside","00409302401","00409-3024-01",603,""
"amoxicillin-clavulanate","6808423501","68084-*235-01",598,""
"topiramate","5456961380","54569-6138-*0",592,""
"Ammonium lactate lotion (5%)","6498030912","64980-*309-12",586,""
"meclizine","00049211066","00049-2110-66",580,""
"DILANTIN","00071036524","00071036524",549,""
"valsartan","00083400041","00083-4000-41",546,""
"Albuterol (""rescue inhaler"")","00487990102","00487990102",540,""
"topiramate","5456961370","54569-6137-*0",528,""
"phenytoin","00641146535","00641146535",519,""
"phenytoin","00143988125","00143-9881-25",502,""
"Albendazole","00007550040","00007-5500-40",500,""
"azathioprine","5539060020","55390-*600-20",498,""
"paliperidone","2169545530","21695-*455-30",488,""
"Nebulized albuterol or ipratropium","5456939000","54569-3900-*0",472,""
"promethazine","5456917540","54569-1754-*0",458,""
"diazepam","4451495518","44514-*955-18",457,""
"Omeprazole","5456954820","54569-5482-*0",457,""
"sucralfate","5456944460","54569-4446-*0",450,""
"heparin","00074779462","00074779462",447,""
"digoxin","5456957580","54569-5758-*0",443,""
"Esomeprazole","00186602001","00186-6020-01",442,""
"aspirin","5456900141","54569-0014-*1",441,""
"trazodone","1883737630","18837-*376-30",437,""
"warfarin","00056017070","00056-0170-70",432,""
"enoxaparin","5486854400","54868-5440-*0",430,""
"lorazepam","5456921730","54569-2173-*0",418,""
"valproic acid","00349873501","00349873501",400,""
"argatroban","00007440701","00007-4407-01",388,""
"Chantix","3535601256","35356-*012-56",383,""
"Leucovorin","5539005301","55390-*053-01",382,""
"danaparoid","00052083011","00052-0830-11",380,""
"natalizumab","5907573015","59075-*730-15",380,""
"irinotecan","6675804801","66758-*048-01",380,""
"propanolol","00258361005","00258361005",380,""
"nitroglycerin","5504516421","55045-1642-*1",375,""
"cholestyramine","5456946631","54569-4663-*1",357,""
"Naproxen","6387430130","63874-*301-30",352,""
"omeprazole","5456954820","54569-5482-*0",339,""
"Nebulized Ipratropium/Oxygen to >90% SaO2","6679400230","66794-*002-30",336,""
"gabapentin","00677193601","00677-1936-01",328,""
"Aliskiren","5486857720","54868-5772-*0",317,""
"pilocarpine 2%","00065075212","00065075212",311,""
"sertraline","00054002413","00054002413",308,""
"Nebulized albuterol","5456939000","54569-3900-*0",297,""
"ranitidine","5456945070","54569-4507-*0",294,""
"fluoxetine","5456952910","54569-5291-*0",294,""
"Hydrochlorothiazide","00349844010","00349844010",285,""
"gemcitabine","00781328275","00781-3282-75",284,""
"gabapentin","00228266650","00228-2666-50",283,""
"Interferon alfacon 1","00187200605","00187-2006-05",279,""
"hyoscyamine","5974302601","59743-*026-01",275,""
"ARAVA","00088216203","00088216203",275,""
"dexamethasone","5456912240","54569-1224-*0",272,""
"Diltiazem","00088177190","00088-1771-90",272,""
"cyclophosphamide","00054413025","00054-4130-25",268,""
"nitroprusside","1001908202","10019-*082-02",266,""
"sumatriptan","00093022419","00093022419",262,""
"chlorambucil","00173063535","00173-0635-35",256,""
"rituximab","05024005121","05024005121",253,""
"citalopram","00093474101","00093474101",253,""
"Ibuprofen","5456941020","54569-4102-*0",251,""
"vincristine","00013745686","00013-7456-86",244,""
"doxorubicin","5539023110","55390-*231-10",244,""
"Estrogens","5128544102","51285-*441-02",240,""
"enalapril","5456951330","54569-5133-*0",239,""
"sertraline","5456958181","54569-5818-*1",237,""
"Dexamethasone","00641627215","00641627215",234,""
"Naproxen","4254959230","42549-*592-30",233,""
"amitriptyline","6524300603","65243-*006-03",233,""
"Methocarbamol","5456940481","54569-4048-*1",233,""
"ROFERON-A","00004201709","00004201709",231,""
"Alendronate sodium","00093517119","00093517119",219,""
"Indomethacin","5456902771","54569-0277-*1",219,""
"sulfasalazine","00182101601","00182101601",214,""
"5-FU","00004150603","00004150603",213,""
"hydrocodone (Vicodin)","5456900325","54569-0032-*5",208,""
"ondansetron","00093723619","00093723619",202,""
"LANTUS","00088222052","00088222052",200,""
"sertraline","1659045730","16590-*457-30",200,""
"pentoxifylline","00115704401","00115704401",188,""
"CELESTONE","00085087905","00085087905",185,""
"trimethoprim","5486816161","54868-1616-*1",181,""
"prochlorperazine","5456947200","54569-4720-*0",180,""
"prazosin","5486812901","54868-1290-*1",165,""
"dexamethasone","5801678100","58016-*781-00",161,""
"methotrexate","5539014301","55390-*143-01",158,""
"hydrocortisone","00409485605","00409-4856-05",158,""
"cytarabine","5539080610","55390-*806-10",158,""
"prednisone","5456903325","54569-0332-*5",152,""
"methylphenidate","5977288401","59772-8840-*1",151,""
"gemfibrozil","00093067006","00093067006",146,""
"methylphenidate","00406112101","00406-1121-01",132,""
"Ultram","5456940890","54569-4089-*0",131,""
"clindamycin","00009022501","00009-0225-01",131,""
